19000000,Buyv,Pqnh Rjdz,940526107460,3.69,940526107460
19000001,Jpkj,Sniv Jrts,940526108129,3.93,940526108129
19000002,Vhgh,Zazc Xeew,940526107513,3.93,940526107513
19000003,Otrz,Uiyn Jyvi,940526104162,3.88,940526104162
19000004,Brbb,Gpqy Xory,940526107032,3.62,940526107032
19000005,Xhzy,Fshy Inus,940526102684,3.91,940526102684
19000006,Tkaq,Jtct Qekq,940526100867,3.9,940526100867
19000007,Tmuw,Abcv Vdxk,940526101735,3.16,940526101735
19000008,Rfqi,Ofgo Ninl,940526100863,3.01,940526100863
19000009,Jahg,Lmkk Njes,940526106325,3.66,940526106325
19000010,Mvie,Xclb Nhfz,940526108361,3.07,940526108361
19000011,Zxjm,Waka Kfje,940526106772,3.51,940526106772
19000012,Lval,Menu Hohu,940526101844,3.01,940526101844
19000013,Lrrj,Qwgw Jrhe,940526104065,3.22,940526104065
19000014,Eszb,Zlhu Dsvg,940526106630,3.02,940526106630
19000015,Xrib,Elfj Srgd,940526107530,3.81,940526107530
19000016,Wtml,Yfgy Qdia,940526108603,3.77,940526108603
19000017,Lryh,Cpht Hxse,940526109737,3.6,940526109737
19000018,Ubop,Dega Gixy,940526101120,3.52,940526101120
19000019,Ccbx,Mchj Medx,940526101325,3.12,940526101325
19000020,Jjgx,Udwj Bzrv,940526106439,3.11,940526106439
19000021,Xfqy,Kikd Yhii,940526105211,3.14,940526105211
19000022,Jrxx,Yzfi Kcro,940526102708,3.4,940526102708
19000023,Ildf,Ivql Omij,940526106579,3.49,940526106579
19000024,Qndc,Qoqd Qcwt,940526107388,3.36,940526107388
19000025,Jayv,Yegi Tahc,940526105592,3.56,940526105592
19000026,Nhao,Poop Ilvl,940526104476,3.72,940526104476
19000027,Mfnd,Nwgh Vxom,940526101297,3.58,940526101297
19000028,Zcom,Wtur Xnse,940526107769,3.6,940526107769
19000029,Uiyo,Ygdh Aqdn,940526106606,3.28,940526106606
19000030,Kzgz,Znre Isqv,940526101991,3.23,940526101991
19000031,Vdqu,Zjwn Zdqk,940526108061,3.16,940526108061
19000032,Fwvd,Idlc Ubzj,940526105127,3.23,940526105127
19000033,Bbcu,Tryf Drsy,940526108352,3.58,940526108352
19000034,Gidm,Zgmw Erdb,940526103206,3.59,940526103206
19000035,Iudi,Pgvz Awna,940526104486,3.66,940526104486
19000036,Pwqn,Ouov Hjlk,940526101173,3.4,940526101173
19000037,Pkwv,Xjzd Znkh,940526103806,3.77,940526103806
19000038,Eyli,Qjuh Lzkm,940526100779,3.01,940526100779
19000039,Rkzt,Ykcn Kecu,940526109046,3.91,940526109046
19000040,Bxsa,Vmbm Jqsh,940526104742,3.3,940526104742
19000041,Vjnc,Shdw Rgyc,940526107816,3.91,940526107816
19000042,Kiqv,Kbdq Lzoq,940526106547,3.53,940526106547
19000043,Gpwr,Cags Bthx,940526102880,3.75,940526102880
19000044,Ajcd,Khkf Dvlw,940526103128,3.35,940526103128
19000045,Xcxa,Xuic Tbab,940526105711,3.69,940526105711
19000046,Htsl,Brce Ntbm,940526101835,3.77,940526101835
19000047,Bjqr,Alxr Ifsy,940526109036,3.11,940526109036
19000048,Hgnp,Zrar Cvqn,940526100496,3.89,940526100496
19000049,Zspt,Idxo Sktl,940526100933,3.02,940526100933
18000000,Jyli,Wwmr Oinf,940526107598,2.47,940526107598
18000001,Nzfi,Ilwa Sgcb,940526109135,2.9,940526109135
18000002,Qlwx,Vttl Zhhc,940526100129,2.82,940526100129
18000003,Bipm,Uref Pwmx,940526103769,2.59,940526103769
18000004,Qtay,Zbxt Feki,940526109143,2.81,940526109143
18000005,Jllr,Tsel Apns,940526107869,2.49,940526107869
18000006,Dley,Vdpp Hejd,940526103948,2.18,940526103948
18000007,Bisx,Ugne Qozu,940526105598,2.37,940526105598
18000008,Ksqa,Gpos Qoyw,940526106878,2.8,940526106878
18000009,Xcwb,Qjck Wwin,940526100247,2.14,940526100247
18000010,Suoc,Xdnz Qltx,940526100563,2.33,940526100563
18000011,Skki,Axek Dbsz,940526106432,2.98,940526106432
18000012,Mrld,Xdjx Koci,940526103921,2.89,940526103921
18000013,Omwn,Kebz Cvvs,940526107609,2.25,940526107609
18000014,Aphq,Ytlq Lryj,940526105911,2.77,940526105911
18000015,Gnhr,Prqc Smfe,940526105112,2.38,940526105112
18000016,Nswe,Sbwy Naxu,940526101944,2.06,940526101944
18000017,Qbvm,Nusc Qrsm,940526107430,2.0,940526107430
18000018,Apkp,Ookp Vyuh,940526107251,2.26,940526107251
18000019,Tuks,Nsaa Bwcg,940526101780,2.51,940526101780
18000020,Apje,Rwnn Zizk,940526102976,2.66,940526102976
18000021,Mqkg,Babs Jxwr,940526105622,2.95,940526105622
18000022,Bzdt,Coqo Hxil,940526108523,2.77,940526108523
18000023,Hvhm,Zqii Fngm,940526107964,2.46,940526107964
18000024,Ejyr,Hkub Drpy,940526108407,2.19,940526108407
18000025,Zwoc,Dxqa Mzbu,940526105242,2.32,940526105242
18000026,Ncko,Isvl Oxeq,940526107838,2.69,940526107838
18000027,Abnl,Ioxq Jmii,940526101438,2.53,940526101438
18000028,Wvel,Nqap Zuww,940526105981,2.66,940526105981
18000029,Lhss,Fwtm Balg,940526100812,2.79,940526100812
18000030,Ojoh,Qfhg Dfah,940526108687,2.47,940526108687
18000031,Tfnq,Qwxm Hfof,940526105435,2.2,940526105435
18000032,Kntn,Prje Yzaa,940526106708,2.46,940526106708
18000033,Kemq,Cpwf Rlqv,940526105527,2.48,940526105527
18000034,Kogp,Ddws Stif,940526109989,2.71,940526109989
18000035,Ffqn,Xjtz Epcn,940526107042,2.61,940526107042
18000036,Glsv,Lnvl Edan,940526106616,2.82,940526106616
18000037,Lvny,Mufz Cgzt,940526103860,2.58,940526103860
18000038,Dfod,Bqkd Wrhw,940526104802,2.47,940526104802
18000039,Enhw,Inla Tqzd,940526101606,2.51,940526101606
18000040,Fosj,Ktxi Vwlb,940526106007,2.21,940526106007
18000041,Ggja,Tqyt Ekaz,940526102104,2.26,940526102104
18000042,Bpyj,Nodp Xtob,940526106286,2.97,940526106286
18000043,Jlav,Rqau Bidq,940526108322,2.48,940526108322
18000044,Svss,Jlvv Gfgv,940526109574,2.79,940526109574
18000045,Mfls,Ogyt Avks,940526100520,2.54,940526100520
18000046,Uggp,Soaz Ykgv,940526103458,2.74,940526103458
18000047,Wcho,Mvcs Fdjj,940526102749,2.84,940526102749
18000048,Exgo,Ksaw Zfum,940526101690,2.58,940526101690
18000049,Vhtq,Khvs Lppx,940526104867,2.27,940526104867
18000500,Pbe,Fub Hhkv,940526102894,3.31,940526102894
18000501,Qwh,Koi Hfuy,940526107014,3.31,940526107014
18000502,Nqt,Rml Cjtt,940526106423,3.07,940526106423
18000503,Yai,Adc Mmoz,940526107548,3.16,940526107548
18000504,Eiq,Fbz Rpfk,940526103182,3.76,940526103182
18000505,Ydu,Ikd Qwzi,940526100896,3.91,940526100896
18000506,Jea,Hfw Acma,940526106813,3.33,940526106813
18000507,Ljc,Gui Tjrk,940526102600,3.79,940526102600
18000508,Rta,Lsv Mvpd,940526103053,3.7,940526103053
18000509,Mdp,Knu Pejb,940526108704,3.02,940526108704
